file,path
borderline_case.csv,..\reports\explainability\borderline_case.csv
borderline_shap_contributions.csv,..\reports\explainability\borderline_shap_contributions.csv
borderline_shap_contributions.png,..\reports\explainability\borderline_shap_contributions.png
classification_report.csv,..\reports\explainability\classification_report.csv
explainability_output_index.csv,..\reports\explainability\explainability_output_index.csv
explanation_case_summary.csv,..\reports\explainability\explanation_case_summary.csv
false_negatives_cases.csv,..\reports\explainability\false_negatives_cases.csv
false_positives_cases.csv,..\reports\explainability\false_positives_cases.csv
fn_shap_contributions.csv,..\reports\explainability\fn_shap_contributions.csv
fn_shap_contributions.png,..\reports\explainability\fn_shap_contributions.png
fp_shap_contributions.csv,..\reports\explainability\fp_shap_contributions.csv
fp_shap_contributions.png,..\reports\explainability\fp_shap_contributions.png
lime_false_negative.csv,..\reports\explainability\lime_false_negative.csv
lime_false_negative.png,..\reports\explainability\lime_false_negative.png
lime_false_positive.csv,..\reports\explainability\lime_false_positive.csv
lime_false_positive.png,..\reports\explainability\lime_false_positive.png
lime_true_positive.csv,..\reports\explainability\lime_true_positive.csv
lime_true_positive.png,..\reports\explainability\lime_true_positive.png
shap_bar_plot.png,..\reports\explainability\shap_bar_plot.png
shap_lime_method_comparison.csv,..\reports\explainability\shap_lime_method_comparison.csv
shap_summary_plot.png,..\reports\explainability\shap_summary_plot.png
tp_shap_contributions.csv,..\reports\explainability\tp_shap_contributions.csv
tp_shap_contributions.png,..\reports\explainability\tp_shap_contributions.png
true_positives_cases.csv,..\reports\explainability\true_positives_cases.csv
